Linha	Total	Média dos dias úteis	Média dos Sábados	Média dos Domingos	Máxima Diária	Mês
15	2799,0	114,0	58,0	34,0	118,0	2022-09
15	2795,0	114,0	54,0	35,0	118,0	2022-10
15	2742,0	117,0	57,0	37,0	124,0	2022-11
15	2519,0	99,0	48,0	32,0	121,0	2022-12
15	2519,0	99,0	57,0	34,0	114,0	2023-01
15	2576,0	117,0	61,0	36,0	125,0	2023-02
15	2876,0	120,0	65,0	35,0	128,0	2023-03
15	2827,0	124,0	63,0	37,0	127,0	2023-04
15	3222,0	124,0	72,0	40,0	129,0	2023-05
15	2880,0	122,0	48,0	30,0	126,0	2023-06
15	2784,0	115,0	44,0	30,0	120,0	2023-07
15	3257,0	124,0	66,0	36,0	131,0	2023-08
15	3052,0	128,0	66,0	38,0	134,0	2023-09
15	2879,0	127,0	49,0	32,0	135,0	2023-10
15	2866,0	130,0	67,0	40,0	135,0	2023-11
